Software	Coverage	Correct_alleles	False_Positive_alleles	Time	Disk_space	Time_for_SPAdes
stringMLST	1	3	4	1.977	500	
stringMLST	2	6	1	2.203	500	
stringMLST	3	7	0	2.663	500	
stringMLST	4	7	0	2.836	500	
stringMLST	5	7	0	3.08	500	
stringMLST	6	7	0	3.347	500	
stringMLST	7	7	0	3.751	500	
stringMLST	8	7	0	4.19	500	
stringMLST	9	7	0	3.874	500	
stringMLST	10	7	0	4.448	500	
stringMLST	11	7	0	4.877	500	
stringMLST	12	7	0	5.186	500	
stringMLST	13	7	0	5.395	500	
stringMLST	14	7	0	5.793	500	
stringMLST	15	7	0	6.318	500	
stringMLST	16	7	0	6.158	500	
stringMLST	17	7	0	6.642	500	
stringMLST	18	7	0	6.93	500	
stringMLST	19	7	0	7.218	500	
stringMLST	20	7	0	7.178	500	
stringMLST	21	7	0	7.666	500	
stringMLST	22	7	0	7.881	500	
stringMLST	23	7	0	7.455	500	
stringMLST	24	7	0	7.875	500	
stringMLST	25	7	0	8.361	500	
stringMLST	26	7	0	8.923	500	
stringMLST	27	7	0	9.347	500	
stringMLST	28	7	0	9.803	500	
stringMLST	29	7	0	9.745	500	
stringMLST	30	7	0	10.193	500	
SRST2	1	0	0	92.526	23120000	
SRST2	2	0	0	130.43	34328000	
SRST2	3	0	0	172.415	46788000	
SRST2	4	0	0	180.073	48556000	
SRST2	5	0	0	192.491	49820000	
SRST2	6	2	0	212.358	54964000	
SRST2	7	2	0	225.078	60300000	
SRST2	8	3	0	237.574	64092000	
SRST2	9	4	0	230.614	60672000	
SRST2	10	3	0	242.57	63340000	
SRST2	11	6	0	271.749	73756000	
SRST2	12	7	0	277.432	74820000	
SRST2	13	7	0	295.897	79544000	
SRST2	14	7	0	322.35	85372000	
SRST2	15	7	0	335.285	98280000	
SRST2	16	7	0	326.347	90556000	
SRST2	17	7	0	346.609	95256000	
SRST2	18	7	0	357.403	102596000	
SRST2	19	7	0	371.725	105072000	
SRST2	20	7	0	372.27	109288000	
SRST2	21	7	0	390.729	110360000	
SRST2	22	7	0	409.041	120084000	
SRST2	23	7	0	399.903	107400000	
SRST2	24	7	0	410.256	117392000	
SRST2	25	7	0	429.939	126028000	
SRST2	26	7	0	446.008	127668000	
SRST2	27	7	0	464.387	134912000	
SRST2	28	7	0	475.622	137152000	
SRST2	29	7	0	483.101	140612000	
SRST2	30	7	0	504.211	147076000	
ARIBA	1	0	0	18.63	68000	
ARIBA	2	1	0	27.417	124000	
ARIBA	3	5	0	34.487	164000	
ARIBA	4	6	0	33.158	160000	
ARIBA	5	7	0	34.1	152000	
ARIBA	6	7	0	34.149	152000	
ARIBA	7	7	0	33.861	152000	
ARIBA	8	7	0	34.443	160000	
ARIBA	9	7	0	34.465	148000	
ARIBA	10	7	0	34.971	156000	
ARIBA	11	7	0	35.61	156000	
ARIBA	12	7	0	35.716	156000	
ARIBA	13	7	0	35.696	156000	
ARIBA	14	7	0	36.133	160000	
ARIBA	15	7	0	36.879	156000	
ARIBA	16	7	0	35.956	156000	
ARIBA	17	7	0	37.203	156000	
ARIBA	18	7	0	36.658	156000	
ARIBA	19	7	0	36.733	156000	
ARIBA	20	7	0	37.117	156000	
ARIBA	21	7	0	37.395	156000	
ARIBA	22	7	0	37.78	156000	
ARIBA	23	7	0	37.837	156000	
ARIBA	24	7	0	38.506	156000	
ARIBA	25	7	0	39.292	156000	
ARIBA	26	7	0	38.867	156000	
ARIBA	27	7	0	38.723	156000	
ARIBA	28	7	0	39.019	156000	
ARIBA	29	7	0	38.866	156000	
ARIBA	30	7	0	40.677	156000	
mlst	1	0	0			
mlst	2	0	0			
mlst	3	0	0			
mlst	4	0	0			
mlst	5	0	0			
mlst	6	0	0			
mlst	7	7	0	14.8	700	8.923
mlst	8	7	0	14.5	700	8.888
mlst	9	7	0	13.2	700	7.29
mlst	10	7	0	14.7	700	8.606
mlst	11	7	0	13.9	700	7.686
mlst	12	7	0	15.4	700	9.647
mlst	13	7	0	15	700	8.913
mlst	14	7	0	15.3	700	9.262
mlst	15	7	0	13.8	700	7.612
mlst	16	7	0	15.9	700	9.845
mlst	17	7	0	13.5	700	8.28
mlst	18	7	0	14.1	700	8.48
mlst	19	7	0	15.5	700	9.612
mlst	20	7	0	15.1	700	8.893
mlst	21	7	0	14.1	700	8.432
mlst	22	7	0	15.2	700	9.108
mlst	23	7	0	16.4	700	10.26
mlst	24	7	0	16	700	9.646
mlst	25	7	0	18	700	12.348
mlst	26	7	0	16	700	9.933
mlst	27	7	0	17.8	700	11.978
mlst	28	7	0	16.7	700	11.382
mlst	29	7	0	15.1	700	9.335
mlst	30	7	0	17.5	700	10.925
MOST	1	2	0	58.85	42904000	
MOST	2	2	0	76.51	54044000	
MOST	3	6	0	80.54	67932000	
MOST	4	7	0	89.7	77472000	
MOST	5	7	0	95.57	81788000	
MOST	6	7	0	100.91	88484000	
MOST	7	7	0	113.47	99652000	
MOST	8	7	0	117.6	105744000	
MOST	9	7	0	120.21	109108000	
MOST	10	7	0	127.19	116276000	
MOST	11	7	0	141.02	124656000	
MOST	12	7	0	146.77	131344000	
MOST	13	7	0	156.56	140456000	
MOST	14	7	0	167.84	149248000	
MOST	15	7	0	177.6	157956000	
MOST	16	7	0	180.62	163404000	
MOST	17	7	0	187.21	169352000	
MOST	18	7	0	197.89	177316000	
MOST	19	7	0	203.91	185416000	
MOST	20	7	0	210.03	189336000	
MOST	21	7	0	216.64	196732000	
MOST	22	7	0	229.1	206760000	
MOST	23	7	0	222.81	204880000	
MOST	24	7	0	229.29	208588000	
MOST	25	7	0	246.06	223584000	
MOST	26	7	0	256.64	231296000	
MOST	27	7	0	264.51	238532000	
MOST	28	7	0	272.36	244936000	
MOST	29	7	0	276.67	250448000	
MOST	30	7	0	284.48	259284000	
MLSTcheck	1	0	0			
MLSTcheck	2	0	0			
MLSTcheck	3	0	0			
MLSTcheck	4	0	0			
MLSTcheck	5	0	0			
MLSTcheck	6	0	0			
MLSTcheck	7	7	0	30.454	12000	8.923
MLSTcheck	8	7	0	45.468	12000	8.888
MLSTcheck	9	7	0	32.83	12000	7.29
MLSTcheck	10	7	0	35.425	12000	8.606
MLSTcheck	11	7	0	28.753	12000	7.686
MLSTcheck	12	7	0	40.709	12000	9.647
MLSTcheck	13	7	0	39.893	12000	8.913
MLSTcheck	14	7	0	37.176	12000	9.262
MLSTcheck	15	7	0	32.617	12000	7.612
MLSTcheck	16	7	0	29.157	12000	9.845
MLSTcheck	17	7	0	31.055	12000	8.28
MLSTcheck	18	7	0	30.725	12000	8.48
MLSTcheck	19	7	0	39.965	12000	9.612
MLSTcheck	20	7	0	29.787	12000	8.893
MLSTcheck	21	7	0	33.523	12000	8.432
MLSTcheck	22	7	0	40.43	12000	9.108
MLSTcheck	23	7	0	29.971	12000	10.26
MLSTcheck	24	7	0	28.756	12000	9.646
MLSTcheck	25	7	0	38.94	12000	12.348
MLSTcheck	26	7	0	31.308	12000	9.933
MLSTcheck	27	7	0	34.876	12000	11.978
MLSTcheck	28	7	0	34.558	12000	11.382
MLSTcheck	29	7	0	37.741	12000	9.335
MLSTcheck	30	7	0	52.197	12000	10.925